block_size,search_window_size,estimation_type,error_function,OF_MSEN,OF_PEPN,time
20,124,forward,nccorr,2.713081916562551,13.897249113390204,0.40423583984375
24,120,forward,nccorr,2.243122627179956,12.955046487108214,0.28011465072631836
28,112,forward,nccorr,2.303568923193078,12.99817885555449,0.20340418815612793
16,128,forward,nccorr,3.862150806977089,14.049650148567046,0.43192005157470703
12,104,forward,nccorr,6.220761009850981,20.607687146554202,0.44012999534606934
32,116,forward,mse,11.606408792403002,39.75750023962427,41.882983446121216
20,96,backward,nccorr,2.78167945131174,17.55774944886418,0.17990803718566895
36,124,forward,nccorr,3.333653936869173,18.129013706508196,0.13625001907348633
24,116,forward,nccorr,2.243122627179956,12.955046487108214,0.2681753635406494
28,120,forward,nccorr,2.303568923193078,12.99817885555449,0.20119261741638184
24,112,forward,nccorr,2.243122627179956,12.955046487108214,0.2558157444000244
16,104,forward,nccorr,3.0490469870719137,13.586696060577015,0.3818967342376709
20,112,forward,nccorr,2.79546030767538,13.897249113390204,0.3763089179992676
124,52,forward,nccorr,6.045978208168916,51.19428735742356,0.011269569396972656
32,108,forward,nccoeff,3.0783487621351124,16.562829483370074,0.17018485069274902
28,128,forward,nccorr,2.332922392242575,12.99817885555449,0.21576952934265137
20,124,forward,mae,52.04278583988146,99.90798428064794,115.35241508483887
24,108,forward,nccorr,2.2423158400937093,12.955046487108214,0.2532031536102295
72,100,backward,nccorr,2.774226937966748,27.436020320138024,0.041054725646972656
24,108,forward,nccorr,2.2423158400937093,12.955046487108214,0.2523808479309082
32,108,forward,nccorr,2.620685504575947,16.665388670564553,0.15143704414367676
16,104,forward,nccorr,3.0490469870719137,13.586696060577015,0.40421605110168457
36,120,forward,nccorr,2.778765379597313,17.485862168120388,0.1343533992767334
12,116,forward,nccorr,6.748756646622994,20.699702865906257,0.711622953414917
20,92,forward,nccorr,2.4528455892331626,13.544522189207322,0.16440820693969727
24,112,forward,nccorr,2.243122627179956,12.955046487108214,0.25573062896728516
28,96,forward,mse,10.15880195552022,38.21719543755391,38.481322050094604
84,108,forward,nccorr,5.987321124911724,37.284577782037765,0.02795886993408203
24,128,forward,nccorr,2.243122627179956,12.955046487108214,0.2823493480682373
24,100,forward,nccorr,2.2081140139780406,12.955046487108214,0.12132477760314941
20,100,forward,nccorr,2.5414878763995308,13.71513466883926,0.17401385307312012
28,88,forward,nccorr,2.2842233054290038,13.001054346784242,0.08525967597961426
32,104,forward,nccorr,2.6220262032162593,16.665388670564553,0.14558815956115723
16,100,forward,nccorr,3.020786159106808,13.637496405635963,0.3748347759246826
24,28,forward,nccorr,4.991930715336092,25.005271733921212,0.032971858978271484
8,124,forward,nccorr,13.57244225967439,35.39154605578453,1.581341028213501
28,108,forward,nccoeff,2.756468700607592,13.10840601936164,0.22636675834655762
20,72,forward,nccorr,2.3153786544164965,13.59053004888335,0.14345192909240723
96,120,backward,mae,16.763965987090604,61.70133231093645,5.57207989692688
24,116,forward,nccorr,2.243122627179956,12.955046487108214,0.26784658432006836
24,112,forward,nccorr,2.243122627179956,12.955046487108214,0.25557398796081543
20,112,forward,nccorr,2.79546030767538,13.897249113390204,0.3775768280029297
32,8,forward,nccorr,8.304404143731926,50.79459407648807,0.01587677001953125
28,96,forward,nccorr,2.283303792472764,12.99817885555449,0.08913516998291016
16,104,forward,nccorr,3.0490469870719137,13.586696060577015,0.38411784172058105
36,108,forward,nccorr,2.794787724703049,17.485862168120388,0.1208193302154541
24,124,forward,nccorr,2.243122627179956,12.955046487108214,0.2754344940185547
28,116,forward,mse,11.328582762469637,38.987827087127386,55.35121250152588
12,120,forward,nccorr,6.9776261240939945,20.9297421642864,0.7249345779418945
20,124,forward,nccorr,2.713081916562551,13.897249113390204,0.39069247245788574
24,128,forward,nccorr,2.243122627179956,12.955046487108214,0.28296971321105957
24,120,forward,nccorr,2.243122627179956,12.955046487108214,0.2715322971343994
28,104,forward,nccorr,2.296680540645481,12.99817885555449,0.1924271583557129
16,116,forward,nccorr,3.644216226071479,13.929838013994058,0.4095594882965088
20,128,forward,nccorr,2.8467932300789087,14.013227259656858,0.39856457710266113
32,112,forward,nccorr,2.6225359532123953,16.665388670564553,0.1483311653137207
24,124,forward,nccorr,2.243122627179956,12.955046487108214,0.27467966079711914
40,124,forward,nccorr,2.9035660051380496,16.480398734783858,0.10850977897644043
20,108,backward,nccoeff,3.2259346973842233,17.696731524968847,0.25328969955444336
28,120,forward,nccorr,2.303568923193078,12.99817885555449,0.2015550136566162
24,112,forward,nccorr,2.243122627179956,12.955046487108214,0.258650541305542
24,120,forward,nccorr,2.243122627179956,12.955046487108214,0.2709076404571533
20,128,forward,nccorr,2.8467932300789087,14.013227259656858,0.3981039524078369
28,116,forward,nccorr,2.303568923193078,12.99817885555449,0.2008981704711914
16,100,forward,nccorr,3.020786159106808,13.637496405635963,0.3747243881225586
36,108,forward,nccorr,2.794787724703049,17.485862168120388,0.12013435363769531
32,116,forward,mae,50.35058574724592,100.0,41.32425856590271
24,104,forward,nccorr,2.209239877973388,12.955046487108214,0.1224064826965332
20,104,forward,nccorr,2.5191671661531694,13.71513466883926,0.17743706703186035
24,112,forward,nccorr,2.243122627179956,12.955046487108214,0.25603723526000977
28,124,forward,nccorr,2.331397185687146,12.99817885555449,0.21016788482666016
24,120,forward,nccorr,2.243122627179956,12.955046487108214,0.27099084854125977
28,108,forward,nccorr,2.303568923193078,12.99817885555449,0.1939716339111328
20,104,forward,nccorr,2.5191671661531694,13.71513466883926,0.177901029586792
16,96,forward,nccorr,2.9634805932176147,13.632703920253043,0.23616337776184082
24,100,forward,nccorr,2.2081140139780406,12.955046487108214,0.1217799186706543
32,92,forward,mse,9.862791376634766,38.7069874436883,26.867910623550415
24,100,forward,nccorr,2.2081140139780406,12.955046487108214,0.12153315544128418
24,100,forward,nccorr,2.2081140139780406,12.955046487108214,0.12179064750671387
24,100,forward,nccorr,2.2081140139780406,12.955046487108214,0.12181711196899414
28,100,forward,nccorr,2.283303792472764,12.99817885555449,0.09030342102050781
24,100,forward,nccorr,2.2081140139780406,12.955046487108214,0.12248706817626953
20,100,forward,nccorr,2.5414878763995308,13.71513466883926,0.17370223999023438
24,96,forward,nccorr,2.206871234582518,12.955046487108214,0.11855721473693848
20,92,forward,nccorr,2.4528455892331626,13.544522189207322,0.16501426696777344
60,96,forward,nccorr,3.0056602488458495,20.339307965110706,0.05216217041015625
108,96,forward,nccorr,6.187874750215342,47.99386561870986,0.01698923110961914
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.1126244068145752
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.11243295669555664
24,80,forward,nccorr,2.197235248967546,12.982842902329148,0.10565972328186035
28,80,forward,nccorr,2.2576936951653117,12.893702674206843,0.08221554756164551
24,92,forward,nccorr,2.207744096279698,12.955046487108214,0.11543965339660645
24,84,forward,nccorr,2.1923828085958017,12.950254001725295,0.11001873016357422
28,88,forward,nccorr,2.2842233054290038,13.001054346784242,0.08540081977844238
24,84,forward,nccorr,2.1923828085958017,12.950254001725295,0.11056089401245117
20,84,forward,nccorr,2.311314322890727,13.455381961085019,0.1529984474182129
28,84,forward,nccorr,2.2787656886882504,13.018307294162753,0.08360815048217773
32,92,backward,nccorr,2.9190585507733555,19.426818748202816,0.06685233116149902
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.11247825622558594
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.11229753494262695
