alpha,ratio,minWidth,nOuterFPIterations,nInnerFPIterations,nSORIterations,msen,pepn,time
0.3048726725907723,0.545566753368969,48,5,7,39,9.888918593437104,71.73679670277005,16.596928358078003
0.35461675910922225,0.7860779316174449,36,3,8,7,9.322549063773705,67.4072654078405,14.185262680053711
0.1610628551648031,0.5489582004978155,17,8,4,13,8.186900864971227,59.16227355506565,7.946910381317139
0.21907290338781,0.841377913338222,12,6,3,27,6.342528551519807,49.97891306431515,26.42001509666443
0.2717975521296794,0.8218759831218865,43,6,7,32,7.402505254223112,56.52065561200038,51.78202986717224
0.3030822082988695,0.8560253922327774,29,6,6,10,7.841340839969922,59.16035656091249,37.48435831069946
0.3431281051939173,0.6810366049538366,34,10,4,38,9.059112231379103,65.21614109076967,25.515328407287598
0.008045194745169296,0.7883800255705299,20,6,6,15,1.0037970595587664,8.232531390779258,23.147782564163208
0.3085283152174155,0.8629863733903933,26,10,1,6,7.833921149306554,59.177609508291,13.183422088623047
0.15015740386999932,0.8197350357299185,32,10,3,37,4.280904865191243,35.351289178568,37.39233422279358
0.1536739797277285,0.5253635868745292,44,4,9,16,9.51551000294666,68.60346975941724,8.945190906524658
0.1567599092363971,0.7660303277783072,14,7,2,5,6.057892916687449,48.04754145499856,6.8707594871521
0.10203714513829444,0.6617711785613121,32,6,5,26,4.762889294129079,36.92609987539538,14.395319938659668
0.09719921868489564,0.8884557860225841,12,3,10,2,3.339152110797309,30.101600690117895,56.39081335067749
0.13385424304077154,0.8812049411096116,11,8,7,9,3.906323112301899,33.128534457969906,70.0513060092926
0.4099752564073517,0.7331532370770151,11,4,2,9,10.142009565612188,76.26569538962906,4.491383075714111
0.23743508834371174,0.5238241080406293,31,10,8,30,9.202095768574694,66.20818556503403,27.622106790542603
0.20760266105834205,0.8257512959583101,39,3,4,29,6.399135585889831,50.461037093836865,19.86545491218567
0.04130067490849255,0.8637419282364023,31,7,1,15,1.3332603661899525,12.475797948816256,12.669816732406616
0.1321193523662607,0.7367641847465969,30,10,9,13,4.837172922518698,38.741493338445316,34.96005916595459
0.08738147409740879,0.8046726000449145,12,1,1,26,3.45317119335711,30.11501964919007,3.5472450256347656
0.2552168293913685,0.7437296933437634,21,1,4,16,8.761926744370703,63.59819802549602,4.630767107009888
0.19906315479409348,0.572465096619605,50,3,7,16,10.128536920327631,73.65570785009106,6.286867380142212
0.2849731880646676,0.6975496144393067,27,3,6,30,8.994634638226454,64.95159589763252,12.3334801197052
0.2144432893220927,0.7173001285086,36,8,10,22,7.517517971734385,56.59350138982076,38.761982440948486
0.3373387084755964,0.7586910493897807,18,4,10,34,8.880911651281588,64.46563787980446,36.497310638427734
0.10884954546478898,0.8371563088709124,15,8,5,2,3.8123207851528,32.41637113006805,23.437774658203125
0.400882943262097,0.8310375002629501,15,1,9,29,9.0418881311225,65.45768235406882,28.52673077583313
0.14204107623671386,0.7376986865124295,24,4,10,5,6.381246288183561,49.95782612863031,13.433093786239624
0.36477592424649974,0.6840610990293463,24,8,6,10,9.661131939310096,70.56359628103134,14.305533647537231
0.059493250798919387,0.7983508530145439,41,1,2,36,1.9885191353629843,20.1964919006997,6.137755393981934
0.4963693147526647,0.8179292108909443,27,2,7,24,9.62522084652648,69.99329052046392,22.389392614364624
0.41596562339313004,0.8445313667300782,10,10,7,4,9.057269662646561,65.67717818460653,42.54712438583374
0.4706709168219108,0.7365795764607881,19,10,6,40,9.492426932221965,68.94181922745136,47.008954763412476
0.3705740068315867,0.6787924761254132,50,10,10,26,9.456559420458857,68.24403335569826,44.99588656425476
0.4859640565019096,0.5865384855399037,17,4,6,15,10.149492056305109,74.84136873382536,7.032284259796143
0.04601482741136847,0.7817232832457117,12,1,6,1,1.7997977982287106,18.17406306910764,5.357121467590332
0.005215091178919731,0.5127971805360164,38,9,1,24,1.3550634838197635,14.00651778012077,4.123404264450073
0.19151908672120085,0.8590496716787818,24,2,7,9,5.855652596191011,47.1513466883926,25.92611575126648
